"N_rate","env_group","Nc","AEN_hat","AEN_lwr","AEN_upr","pct","pct_lwr","pct_upr"
145.321285140562,"Normal",-34.6787148594377,29.1964221530771,27.4680854282083,30.924758877946,29.1964221530771,27.4680854282083,30.924758877946
147.469879518072,"Normal",-32.5301204819277,28.983108351715,27.2533421202982,30.7128745831317,28.983108351715,27.2533421202982,30.7128745831317
149.618473895582,"Normal",-30.3815261044177,28.7738151923944,27.04283816512,30.5047922196687,28.7738151923944,27.04283816512,30.5047922196687
151.767068273092,"Normal",-28.2329317269076,28.568613212695,26.8366694924595,30.3005569329305,28.568613212695,26.8366694924595,30.3005569329305
153.915662650602,"Normal",-26.0843373493976,28.3675729501965,26.6349302452355,30.1002156551576,28.3675729501965,26.6349302452355,30.1002156551576
156.064257028112,"Normal",-23.9357429718875,28.1707649424787,26.4377126891413,29.903817195816,28.1707649424787,26.4377126891413,29.903817195816
158.212851405623,"Normal",-21.7871485943775,27.9782597271211,26.2451071189442,29.7114123352979,27.9782597271211,26.2451071189442,29.7114123352979
160.361445783133,"Normal",-19.6385542168675,27.7901004742022,26.057171113848,29.5230298345565,27.7901004742022,26.057171113848,29.5230298345565
162.510040160643,"Normal",-17.4899598393574,27.606220883796,25.8738374702598,29.3386042973322,27.606220883796,25.8738374702598,29.3386042973322
164.658634538153,"Normal",-15.3413654618474,27.4265272884751,25.6950061386545,29.1580484382957,27.4265272884751,25.6950061386545,29.1580484382957
166.807228915663,"Normal",-13.1927710843374,27.2509260208121,25.5205750602961,28.9812769813281,27.2509260208121,25.5205750602961,28.9812769813281
168.955823293173,"Normal",-11.0441767068273,27.0793234133797,25.3504403681895,28.8082064585699,27.0793234133797,25.3504403681895,28.8082064585699
171.104417670683,"Normal",-8.89558232931728,26.9116257987506,25.1844965768351,28.6387550206662,26.9116257987506,25.1844965768351,28.6387550206662
173.253012048193,"Normal",-6.74698795180723,26.7477395094975,25.022636761784,28.472842257211,26.7477395094975,25.022636761784,28.472842257211
175.401606425703,"Normal",-4.59839357429718,26.587570878193,24.8647527299359,28.3103890264502,26.587570878193,24.8647527299359,28.3103890264502
177.550200803213,"Normal",-2.44979919678715,26.4310262374099,24.7107351814551,28.1513172933646,26.4310262374099,24.7107351814551,28.1513172933646
179.698795180723,"Normal",-0.301204819277103,26.2780119197207,24.5604738641111,27.9955499753303,26.2780119197207,24.5604738641111,27.9955499753303
181.847389558233,"Normal",1.84738955823295,26.1284342576981,24.4138577207731,27.8430107946232,26.1284342576981,24.4138577207731,27.8430107946232
183.995983935743,"Normal",3.99598393574297,25.9821995839149,24.2707750307085,27.6936241371213,25.9821995839149,24.2707750307085,27.6936241371213
186.144578313253,"Normal",6.14457831325302,25.8392142309437,24.1311135452529,27.5473149166344,25.8392142309437,24.1311135452529,27.5473149166344
188.293172690763,"Normal",8.29317269076307,25.6993845313571,23.9947606183379,27.4040084443763,25.6993845313571,23.9947606183379,27.4040084443763
190.441767068273,"Normal",10.4417670682731,25.5626168177278,23.8616033322776,27.263630303178,25.5626168177278,23.8616033322776,27.263630303178
192.590361445783,"Normal",12.5903614457831,25.4288174226286,23.7315286191338,27.1261062261234,25.4288174226286,23.7315286191338,27.1261062261234
194.738955823293,"Normal",14.7389558232932,25.297892678632,23.6044233778947,26.9913619793693,25.297892678632,23.6044233778947,26.9913619793693
196.887550200803,"Normal",16.8875502008032,25.1697489183107,23.4801745876237,26.8593232489977,25.1697489183107,23.4801745876237,26.8593232489977
199.036144578313,"Normal",19.0361445783133,25.0442924742375,23.3586694166535,26.7299155318215,25.0442924742375,23.3586694166535,26.7299155318215
201.184738955823,"Normal",21.1847389558233,24.921429678985,23.239795327826,26.6030640301439,24.921429678985,23.239795327826,26.6030640301439
203.333333333333,"Normal",23.3333333333333,24.8010668651258,23.1234401797044,26.4786935505471,24.8010668651258,23.1234401797044,26.4786935505471
205.481927710843,"Normal",25.4819277108434,24.6831103652326,23.0094923236164,26.3567284068488,24.6831103652326,23.0094923236164,26.3567284068488
207.630522088353,"Normal",27.6305220883534,24.5674665118781,22.8978406963209,26.2370923274353,24.5674665118781,22.8978406963209,26.2370923274353
209.779116465863,"Normal",29.7791164658635,24.454041637635,22.788374908036,26.119708367234,24.454041637635,22.788374908036,26.119708367234
211.927710843373,"Normal",31.9277108433735,24.3427420750759,22.6809853255102,26.0044988246417,24.3427420750759,22.6809853255102,26.0044988246417
214.076305220884,"Normal",34.0763052208835,24.2334741567736,22.5755631497784,25.8913851637687,24.2334741567736,22.5755631497784,25.8913851637687
216.224899598394,"Normal",36.2248995983936,24.1261442153006,22.472000488205,25.7802879423962,24.1261442153006,22.472000488205,25.7802879423962
218.373493975904,"Normal",38.3734939759036,24.0206585832296,22.3701904203899,25.6711267460694,24.0206585832296,22.3701904203899,25.6711267460694
220.522088353414,"Normal",40.5220883534137,23.9169235931334,22.2700270574959,25.5638201287709,23.9169235931334,22.2700270574959,25.5638201287709
222.670682730924,"Normal",42.6706827309237,23.8148455775846,22.1714055945452,25.458285560624,23.8148455775846,22.1714055945452,25.458285560624
