env_ID,gp_id,gp_lat,gp_lon,continent,country,site,region,sowing_date,harvest_date,R1_date,total_days,total_GDD,preR1_days,preR1_GDD,postR1_days,postR1_GDD,total_EDH30,total_EDH35,preR1_EDH30,preR1_EDH35,postR1_EDH30,postR1_EDH35
2006_05_09_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2006/5/9,2006/9/4,2006/6/30,118,1451.853545,53,574.501085,66,877.35246,310.9208,1.30809,58.30308,0,252.61772,1.30809
2007_05_13_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2007/5/13,2007/9/8,2007/7/4,118,1502.475855,53,596.23376,66,906.242095,155.75139,0,23.2073,0,132.54409,0
2008_05_14_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2008/5/14,2008/9/9,2008/7/5,118,1358.942655,53,550.43185,66,808.510805,52.74152,0,6.34988,0,46.39164,0
2009_05_05_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2009/5/5,2009/8/31,2009/6/26,118,1225.111465,53,499.13199,66,725.979475,54.35799,0,47.88381,0,6.47418,0
2010_04_29_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2010/4/29,2010/8/25,2010/6/20,118,1428.712835,53,493.15459,66,935.558245,141.00316,0,28.09268,0,112.91048,0
2011_05_11_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2011/5/11,2011/9/6,2011/7/2,118,1463.83302,53,552.0195,66,911.81352,477.03409,7.06896,151.28548,0,325.74861,7.06896
2012_05_10_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2012/5/10,2012/9/5,2012/7/1,118,1549.59545,53,626.05693,66,923.53852,1154.9596,58.82743,160.67115,2.63734,994.28845,56.19009
2013_05_24_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2013/5/24,2013/9/19,2013/7/15,118,1438.877255,53,615.56549,66,823.311765,421.35764,3.47107,38.33637,0,383.02127,3.47107
2014_05_07_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2014/5/7,2014/9/2,2014/6/28,118,1320.30424,53,550.53127,66,769.77297,14.92269,0,2.46656,0,12.45613,0
2017_04_30_42.05__93.86,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Boone, Iowa",North America_Rainfed,2017/4/30,2017/9/29,,152,1726.30043,,,,,324.75176,0,,,,
2018_05_05_42.05__93.86,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Boone, Iowa",North America_Rainfed,2018/5/5,2018/10/4,,152,1829.606905,,,,,337.90388,2.03432,,,,
2018_04_17_38.6_103.07,ERA5_38.50_103.00,38.5,103,Asia,China,Gansu_Gansu Agricultural University Experiment Station,Northwest China,2018/4/17,2018/8/29,,134,1592.399225,,,,,1219.34286,109.76749,,,,
2019_04_19_38.6_103.07,ERA5_38.50_103.00,38.5,103,Asia,China,Gansu_Gansu Agricultural University Experiment Station,Northwest China,2019/4/19,2019/8/31,,134,1506.83737,,,,,786.49225,41.41407,,,,
2005_05_10_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2005/5/10,2005/10/14,,157,1409.46144,,,,,93.1491,0,,,,
2006_05_12_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2006/5/12,2006/10/16,,157,1201.10343,,,,,43.19069,1.40804,,,,
2007_05_13_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2007/5/13,2007/10/17,,157,1246.51344,,,,,81.91835,0,,,,
2008_05_12_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2008/5/12,2008/10/16,,157,1169.101145,,,,,0.69656,0,,,,
2009_05_10_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2009/5/10,2009/10/14,,157,1067.24191,,,,,21.83055,0,,,,
2010_05_10_45.39__75.57,ERA5_45.50_-75.50,45.5,-75.5,North America,Canada,Co-op farms near Ottawa,North America_Rainfed,2010/5/10,2010/10/14,,157,1296.9422,,,,,184.05925,0,,,,
2013_08_02_6.67__1.57,ERA5_6.75_-1.50,6.75,-1.5,Africa,Ghana,"The Faculty of Renewable Natural Resources farm at the Kwame Nkrumah University of Science and Technology, Kumasi",West Africa,2013/8/2,2013/11/5,,95,1508.89173,,,,,93.20857,0,,,,
2013_04_02_6.67__1.57,ERA5_6.75_-1.50,6.75,-1.5,Africa,Ghana,"The Faculty of Renewable Natural Resources farm at the Kwame Nkrumah University of Science and Technology, Kumasi",West Africa,2013/4/2,2013/7/6,,95,1579.75276,,,,,594.62143,0.19057,,,,
2017_11_04__37.91__58.6,ERA5_-38.00_-58.50,-38,-58.5,South America,Argentina,"Lober¨ªa district, Buenos Aires province",South America,2017/11/4,2018/3/10,,126,1253.826075,,,,,304.18191,3.1073,,,,
2017_10_30__38.49__58.71,ERA5_-38.50_-58.75,-38.5,-58.75,South America,Argentina,"Necochea district, Buenos Aires province",South America,2017/10/30,2018/3/10,,131,1274.12664,,,,,55.25306,0,,,,
2017_11_02__37.88__57.84,ERA5_-38.00_-57.75,-38,-57.75,South America,Argentina,"General Pueyrred¨®n district, Buenos Aires province",South America,2017/11/2,2018/3/10,,128,1243.18177,,,,,173.11482,0.1865,,,,
2005_04_29_40.06__88.23,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Department of Crop Sciences Research and Education Center in Champaign, Illinois",North America_Rainfed,2005/4/29,2005/9/28,,152,1892.279485,,,,,549.8971,0.71053,,,,
2006_04_29_40.1__88.2,ERA5_40.00_-88.25,40,-88.25,North America,USA,Illinois_University of Illinois Crop Sciences research centers near Urbana,North America_Rainfed,2006/4/29,2006/9/28,,152,1717.770515,,,,,222.51483,0,,,,
2006_04_24_40.1__88.2,ERA5_40.00_-88.25,40,-88.25,North America,USA,Illinois_University of Illinois Crop Sciences research centers near Urbana,North America_Rainfed,2006/4/24,2006/9/23,,152,1711.29321,,,,,222.51483,0,,,,
2016_04_28_39.99__88.26,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Farmer¡¯s field near Tolono, IL",North America_Rainfed,2016/4/28,2016/10/15,,170,2049.05325,,,,,259.43037,0,,,,
2017_04_20_39.99__88.26,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Farmer¡¯s field near Tolono, IL",North America_Rainfed,2017/4/20,2017/10/21,,184,2081.03583,,,,,559.45736,1.88543,,,,
2018_05_07_39.99__88.26,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Farmer¡¯s field near Tolono, IL",North America_Rainfed,2018/5/7,2018/11/3,,180,2141.364035,,,,,437.64658,0,,,,
2017_05_02_39.91__88.27,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Farmer¡¯s field near Pesotum, IL",North America_Rainfed,2017/5/2,2017/10/25,,176,2019.334175,,,,,559.45736,1.88543,,,,
2018_05_02_39.91__88.27,ERA5_40.00_-88.25,40,-88.25,North America,USA,"Illinois_Farmer¡¯s field near Pesotum, IL",North America_Rainfed,2018/5/2,2018/11/7,,189,2203.38112,,,,,439.2152,0,,,,
2005_04_25_51.67_18.17,ERA5_51.75_18.25,51.75,18.25,Europe,Poland,Production and Experimental Enterprise located in Ba?cyny,Europe,2005/4/25,2005/10/26,,184,1208.102595,,,,,92.04304,0,,,,
2016_04_25_51.67_18.17,ERA5_51.75_18.25,51.75,18.25,Europe,Poland,Production and Experimental Enterprise located in Ba?cyny,Europe,2016/4/25,2016/10/26,,184,1270.668645,,,,,79.06823,0,,,,
2017_05_01_51.67_18.17,ERA5_51.75_18.25,51.75,18.25,Europe,Poland,Production and Experimental Enterprise located in Ba?cyny,Europe,2017/5/1,2017/11/15,,198,1166.34386,,,,,58.89934,0,,,,
1994_06_28_10.28_9.82,ERA5_10.25_9.75,10.25,9.75,Africa,Nigeria,"University Farm of Abubakar Tafawa Balewa University, Bauchi",West Africa,1994/6/28,1994/10/16,,110,1581.047995,,,,,28.18763,0,,,,
1995_06_29_10.28_9.82,ERA5_10.25_9.75,10.25,9.75,Africa,Nigeria,"University Farm of Abubakar Tafawa Balewa University, Bauchi",West Africa,1995/6/29,1995/10/17,,110,1602.772565,,,,,29.00593,0,,,,
2015_03_25__0.52_37.27,ERA5_-0.50_37.25,-0.5,37.25,Africa,Kenya,Kenya Agricultural and Livestock Research Organisation Research Station at Embu,East Africa,2015/3/25,2015/7/14,2015/5/25,111,959.75371,62,574.581385,50,385.172325,0,0,0,0,0,0
2015_10_19__0.52_37.27,ERA5_-0.50_37.25,-0.5,37.25,Africa,Kenya,Kenya Agricultural and Livestock Research Organisation Research Station at Embu,East Africa,2015/10/19,2016/2/7,2015/12/27,111,1050.66061,70,654.22572,42,396.43489,0,0,0,0,0,0
2016_04_03__0.52_37.27,ERA5_-0.50_37.25,-0.5,37.25,Africa,Kenya,Kenya Agricultural and Livestock Research Organisation Research Station at Embu,East Africa,2016/4/3,2016/7/23,2016/6/3,111,920.58735,62,575.59272,50,344.99463,0,0,0,0,0,0
2014_05_15_41.22__83.76,ERA5_41.25_-83.75,41.25,-83.75,North America,USA,"Ohio_Northwest Agricultural Research Station at the city of Bowling Green, OH (Wood County)",North America_Rainfed,2014/5/15,2014/10/14,,152,1548.581155,,,,,47.91075,0,,,,
2014_05_05_41.22__83.76,ERA5_41.25_-83.75,41.25,-83.75,North America,USA,"Ohio_Northwest Agricultural Research Station at the city of Bowling Green, OH (Wood County)",North America_Rainfed,2014/5/5,2014/10/4,,152,1598.91904,,,,,48.66495,0,,,,
2008_04_26_41.22__83.76,ERA5_41.25_-83.75,41.25,-83.75,North America,USA,"Ohio_the OARDC Northwest Research Station near Hoytville, OH",North America_Rainfed,2008/4/26,2008/9/25,,152,1606.968225,,,,,197.12101,0,,,,
2014_05_05_40.76__81.9,ERA5_40.75_-82.00,40.75,-82,North America,USA,Ohio_Ohio Agricultural Research and Development Center,North America_Rainfed,2014/5/5,2014/10/4,,152,1575.632845,,,,,21.46311,0,,,,
2014_05_15_40.76__81.9,ERA5_40.75_-82.00,40.75,-82,North America,USA,Ohio_Ohio Agricultural Research and Development Center,North America_Rainfed,2014/5/15,2014/10/14,,152,1518.412345,,,,,20.96599,0,,,,
2008_05_01_43.57_124.88,ERA5_43.50_125.00,43.5,125,Asia,China,Jilin_Liufangzi in Jilin province,Northeast China,2008/5/1,2008/9/30,,152,1564.10009,,,,,91.85578,0,,,,
2010_05_01_43.57_124.88,ERA5_43.50_125.00,43.5,125,Asia,China,Jilin_Liufangzi in Jilin province,Northeast China,2010/5/1,2010/9/30,,152,1645.839865,,,,,201.7725,5.42504,,,,
2009_05_01_43.75_125.02,ERA5_43.75_125.00,43.75,125,Asia,China,Jilin_Liufangzi in Jilin province,Northeast China,2009/5/1,2009/9/30,,152,1587.205195,,,,,142.98835,0,,,,
2009_05_01_43.65_124.97,ERA5_43.75_125.00,43.75,125,Asia,China,Jilin_Taojia in Jilin province,Northeast China,2009/5/1,2009/9/30,,152,1587.205195,,,,,142.98835,0,,,,
2010_05_01_43.65_125,ERA5_43.75_125.00,43.75,125,Asia,China,Jilin_Taojia in Jilin province,Northeast China,2010/5/1,2010/9/30,,152,1665.966155,,,,,276.62614,15.70161,,,,
2008_05_01_43.65_124.65,ERA5_43.75_124.75,43.75,124.75,Asia,China,Jilin_Taojia in Jilin province,Northeast China,2008/5/1,2008/9/30,,152,1582.481945,,,,,104.28438,0,,,,
2008_05_01_44.95_126.28,ERA5_45.00_126.25,45,126.25,Asia,China,Jilin_Yushu in Jilin province,Northeast China,2008/5/1,2008/9/30,,152,1535.564545,,,,,104.7513,0,,,,
2009_05_01_44.8_126.48,ERA5_44.75_126.50,44.75,126.5,Asia,China,Jilin_Yushu in Jilin province,Northeast China,2009/5/1,2009/9/30,,152,1500.32217,,,,,40.3372,0,,,,
2010_05_01_44.8_126.47,ERA5_44.75_126.50,44.75,126.5,Asia,China,Jilin_Yushu in Jilin province,Northeast China,2010/5/1,2010/9/30,,152,1621.209015,,,,,358.46637,31.68131,,,,
2005_04_15_37.37__95.29,ERA5_37.25_-95.25,37.25,-95.25,North America,USA,"Kansas_Southeast Agricultural Research Center of Kansas State University located near Parsons, KS",North America_Irrigated,2005/4/15,2005/9/9,,147,1998.09539,,,,,1504.8257,57.46273,,,,
2007_04_15_37.37__95.29,ERA5_37.25_-95.25,37.25,-95.25,North America,USA,"Kansas_Southeast Agricultural Research Center of Kansas State University located near Parsons, KS",North America_Irrigated,2007/4/15,2007/9/9,,147,2068.592315,,,,,1253.75859,87.06719,,,,
2009_05_22_37.37__95.29,ERA5_37.25_-95.25,37.25,-95.25,North America,USA,"Kansas_Southeast Agricultural Research Center of Kansas State University located near Parsons, KS",North America_Irrigated,2009/5/22,2009/10/16,,147,1904.38383,,,,,1073.06128,46.47792,,,,
